VILLAGE_NAME_ENGLISH,PH,EC,Organinc Carbon,PHOSPHOROUS,POTASH,CALCIUM_CARBONATE,FERROUS,MANAGESE,ZINK,COPPER,Total Rating Value
AKIWAT,7.74,0.51,0.9,15.6,739,15.2,9,17,1,3,808.95
AKIWAT,7.69,0.54,0.85,15.6,762,14.8,7,15,1,5,829.48
TERWAD,7.07,0.53,0.7,33,560,4.2,26,25,4,5,665.5
SHIROL,7.71,0.84,1.05,11.8,414,12.4,20,9,0.7,4.5,482
SHIROL,7.27,1.27,0.85,21,782,4,14,35,2.4,4,871.79
SHIROL,7.37,0.64,1.05,16.5,403,7.2,14,41,0.7,4,495.46
SHIROL,7.07,0.67,0.7,25.8,437,4.6,16,50,2,5,548.84
SHIROL,7.6,0.6,1.05,15.6,582,14,11,20,1.4,4.5,657.75
ARJUNWAD,7.47,0.67,1.05,14.1,310,5.6,8,18,1,4.2,370.09
SHIROL,7.59,0.4,0.85,23.3,302,5.2,9,15,0.5,3.4,367.24
SHIROL,7.47,0.57,0.7,21.1,310,7.2,8,15,2,6,378.04
SHIROL,7.39,1.24,0.6,28,918,4.8,6,17,1,5,989.03
SHIROL,7.71,0.42,0.85,21.1,358,7.8,8,21,1.4,4,430.28
SHIROL,7.67,0.58,0.7,16,322,7.6,9,15,1,4,383.55
SHIROL,7.59,1.27,0.7,13.3,347,7.6,5,14,2,3,401.46
SHIROL,7.67,0.46,0.3,28,210,4.8,5,8,2,3,269.23
SHIROL,7.39,1.24,0.4,18.3,280,3.6,7.2,14.2,0.6,3,335.93
SHIROL,7.69,1.62,0.7,13,515,10,8,10,2,4,572.01
CHINCHWAD,7.34,2.22,1.15,23.3,470,3.2,8,15,0.9,4,535.11
CHINCHWAD,7.2,2.06,0.85,21.1,694,4,7,30,0.4,4,770.61
SHIRATI,7.42,0.38,1.15,21.1,575,4.8,7.4,14.8,2,3,637.05
SHIROL,7.54,0.7,0.6,26,706,6.8,1.4,12.4,2.3,5,768.74
SHIROL,7.59,0.56,0.7,19,840,9.2,7,14,2,5,905.05
SHIROL,7.68,0.27,0.7,16,437,10.4,6,47,2,1.2,528.25
SHIROL,7.59,0.34,0.85,12.1,246,9.2,4.4,9.8,2,4,296.28
DATTANAGAR ,7.62,0.56,0.9,10.4,224,12,7,10,2,4,278.48
SHIROL,7.68,0.31,0.6,13,370,12.8,5.4,10,2,4,425.79
SHIROL,7.17,0.24,0.5,7.2,437,3.6,13,23,19,6.3,517.01
SHIROL,6.95,0.72,0.85,7.5,706,5.6,14.4,17,3,4,766.02
SHIROL,7.29,1.99,0.85,8.96,918,6,6,3,1.6,5,958.69
SHIROL,7.16,5.66,0.9,8.01,1120,6.4,6.3,0.6,1.4,4.5,1160.93
SHIROL,7.37,11.76,0.3,3.8,365,8.4,14.4,2.8,0.72,1.6,416.15
TAKALI,7.17,0.51,0.85,13,806,6,10,50,3,9,905.53
RAJAPUR,7.44,0.27,0.85,6.6,325,8,10,32,2.8,8,400.96
TAKALI,7.19,0.34,0.7,9.5,493,6,11,27,2.4,8.4,565.53
RAJAPUR,7.04,0.27,0.3,11,325,4.8,10,17,1.4,6.5,383.31
AKIWAT,7.3,0.28,0.7,12.1,437,4.4,14,25,0.6,7,508.38
AKIWAT,7.24,0.49,0.7,12.1,432,4.4,14,25,0.6,7,503.53
AKIWAT,6.81,0.52,0.6,8.6,482,3.2,13,17,1.4,6.5,539.63
AKIWAT,7.33,0.29,0.7,19,515,6.4,16,61,1,7,633.72
UDGAON,7.26,0.4,0.9,9,594,5.2,16,20,4,6,662.76
UDGAON,7.33,0.8,0.9,11.5,840,6.4,8,17,1,7,899.93
UDGAON,7.35,0.33,0.85,8.6,750,6.8,14,16,1.7,6.2,811.83
UDGAON,7.21,0.27,0.7,5.7,616,6,17,19,1.5,5,678.38
UDGAON,7.35,0.52,0.6,7.5,470,6.8,23,19,2,4.4,541.17
CHINCHWAD,7.14,0.39,0.9,7.2,414,5.2,12,30,2,4.6,483.43
CHINCHWAD,7.14,0.39,0.9,7.2,414,5.2,12,30,2,5,483.83
CHINCHWAD,6.85,0.37,0.5,8.6,660,5,9.6,26,2,6,724.92
SHIROL,7.14,0.44,0.5,4.7,302,4.4,18,6,3,8,354.18
SHIROL,7.16,0.3,0.5,4.7,370,4.8,18,13,2,8,428.46
SHIROL,6.97,0.67,0.5,7.5,322,3.4,13,27,2.4,4.2,387.64
SHIROL,7,0.37,0.7,3.4,200,2.8,11,19,0.2,2,246.47
SHIROL,7.04,0.36,0.3,7.2,422,3.2,17.4,18.5,0.48,6.2,482.68
BORGAON,7.49,0.13,0.85,5.7,1120,6,8,19,1,3,1171.17
RAJAPUR,7.39,0.26,0.4,8,392,6.8,11,10,2,8,445.85
TAKALI,7.2,0.2,0.6,7,347,2.8,11,12,2,8,397.8
SADALGA,7.24,0.25,1.05,7,538,5.2,15,18,1,6,598.74
SADALGA,6.89,0.15,0.5,5,224,2,26,40,1,7,312.54
SADALGA,7.29,0.2,0.6,5,392,7.8,14,23,2,5,456.89
SADALGA,6.74,0.16,0.7,9.5,605,2,17,23,2,5,671.1
SADALGA,6.62,0.17,1.05,12.1,336,5.2,30,58,16,9,474.14
SADALGA,6.92,0.24,0.9,7,381,2.8,20,41,6,8,473.86
JANWAD,6.7,0.2,1.05,16,616,3.2,14,30,4,4,695.15
JANWAD,6.94,0.17,0.7,5,190,4,14,34,4,5,263.81
CHAND-SHIRADWAD,6.41,0.51,0.6,14,728,4,12,30,2,4,801.52
CHAND-SHIRADWAD,6.21,0.43,0.5,30,818,3.2,31,62,2,5,958.34
BORGAON,6.92,0.3,0.6,11,582,4,11,46,2,5,668.82
AKIWAT,7.1,0.44,0.6,23.3,851,8,19,51,3.4,5,968.84
AKIWAT,7.37,0.37,0.6,16.5,616,4,18,36,2,6,706.84
AKIWAT,7.13,0.44,0.85,18,952,2.8,19,76,2,6,1084.22
AKIWAT,7.29,0.8,1.05,2.15,538,4.2,14,26,2,4,599.49
RAJAPUR,7.31,0.32,0.7,7.5,470,5.2,16,22,2,4,535.03
RAJAPUR,7.22,0.74,0.5,7,493,4.8,18,25,2,4,562.26
RAJAPUR,6.62,1.01,0.5,9,459,2.4,25,51,2,10,566.53
NANDANI,7.07,0.37,0.6,30,1075,6,29,44,3,8,1203.04
NANDANI,7.14,0.64,0.5,33,1120,6.4,31,81,3,8,1290.68
NANDANI,6.63,0.32,0.9,23,952,5.6,24,24,3,8,1047.45
DHARANGUTTI,6.32,0.29,0.7,13,504,3.6,22,42,2,7,600.91
NANDANI,7,0.42,1.05,17,773,5.6,14,31,2,4,855.07
NANDANI,6.95,0.54,0.05,5.5,1098,3.6,14,31,4,6,1169.64
NANDANI,6.9,0.49,0.5,2.5,616,3.2,15,60,5,6,715.59
SADALGA,6.29,0.31,0.5,2.5,414,2.8,22,31,3,6,488.4
SADALGA,6.32,0.47,0.7,4,302,3.2,30,67,3,7,423.69
SADALGA,6.29,0.36,0.7,0.4,320,3.6,23,29,2,5,390.35
SADALGA,7,0.37,1.05,4,717,4.8,3,15,2,5,759.22
SADALGA,6.96,0.74,0.7,26,470,2.8,17,20,3,5,552.2
SADALGA,7,0.39,1.05,21,840,3.8,11,19,1,6,910.24
TAKALI,7.06,0.62,1.05,19,670,4,26,51,0.4,12,791.13
JAMBHALI,7.09,2.84,0.5,10,336,7.2,12,25,2,4,406.63
RAJAPUR,7.57,0.51,0.6,1.1,358,11.6,8,27,4,4,422.38
RAJAPUR,7.39,0.33,0.6,6,336,7.2,20,40,5,6,428.52
DATTANAGAR ,7.17,0.47,1.05,13,549,3.2,17,17,4,8,619.89
BORGAON,6.42,0.16,0.4,7.5,302,4,8.2,10.4,2.2,4,345.28
BORGAON,6.44,0.14,0.4,6.3,322,4,8.6,11,2,4,364.88
BORGAON,6.44,0.14,0.4,7.1,318,4,9.21,12,2,4.4,363.69
NANDANI,7.49,0.39,0.85,9,515,9.6,5.4,24,2,9,582.73
SHIRDHON,6.89,0.42,0.7,28,750,2,21,26,5.6,9,849.61
SHIROL,7.01,0.32,0.85,17,616,3.2,19,45,6,10,724.38
TAKALI,7.1,0.13,0.5,10,504,4,26,44,4.8,8,608.53
TAKALI,7.27,0.27,1.15,7,728,7.6,14,38,4,8,815.29
TAKALI,7.39,0.28,0.85,7,538,4.4,4,17,3.8,4,586.72
TAKALI,7.17,0.24,0.5,12,437,3.6,4,24,2,4.5,495.01
TAKALI,7.29,0.27,0.6,6,773,6.4,17,38,3,7,858.56
TAKALI,7.32,0.31,0.7,7.5,444,6,5,22,3,4,499.83
TAKALI,7.34,0.27,0.7,11,515,11.2,9,19,3,4,580.51
TAKALI,7.26,0.37,0.6,7.2,560,5.2,5.4,25,2,3,616.03
TAKALI,7.13,0.14,0.85,11.5,493,4,20,36,4,9,585.62
SHIROL,6.97,3.89,1.05,25.8,616,5.2,11,13,3.5,4.5,690.91
JAMBHALI,6.59,0.29,0.85,30.1,840,3.2,15,38.8,2.6,1.8,939.23
SHIROL,7.61,0.27,0.85,5,179,12.4,13,29,0.8,9,256.93
SHIROL,7.59,0.67,0.5,4,358,2,24,41,2,16,455.76
SHEDBAL,7.27,0.37,0.85,9,1120,12.8,11,56,2,15,1234.29
SHEDBAL,7.29,0.39,0.7,6,874,9.6,13,64,2,14,990.98
SHEDBAL,7.24,0.32,0.85,6,1064,10.8,13,60,2,14,1178.21
SHEDBAL,7.3,0.37,0.85,6,880,10.8,7,64,1,10,987.32
SHEDBAL,7.29,0.44,0.4,2,470,10.4,10,44,1,10,555.53
SHEDBAL,7.27,0.5,0.85,5,680,11.2,12,47,0.8,9,773.62
SHEDBAL,7.58,0.53,0.9,5,762,12,22,67,0.4,16,893.41
SHEDBAL,7.27,0.44,0.7,6,717,13.6,10,42,5,13,815.01
SHEDBAL,7.2,0.51,0.85,4,660,12,9,44,2,8,747.56
SHEDBAL,7.14,0.51,0.6,1,336,10,5,40,0.7,3.6,404.55
SHEDBAL,7.61,0.21,1.05,7,728,10,2,18,0.5,8,782.37
SHEDBAL,7.24,0.15,0.3,3,246,6.8,4,22,1.6,5,296.09
SHEDBAL,7.17,0.12,0.3,7.5,235,8.8,8,24,1.5,6,298.39
SHEDBAL,7.24,0.14,0.3,3,310,9.6,9,24,1.3,6,370.58
SHEDBAL,7.12,0.14,0.2,17,280,10,8,17,1.2,4,344.66
SHEDBAL,7.26,0.14,0.3,2,224,10,8,20,1.4,4,277.1
SHIROL,7.59,0.67,0.5,4,358,2,24,41,2,16,455.76
SADALGA,7.1,0.39,0.85,7.5,336,9.4,14,6,1,7,389.24
SADALGA,6.8,0.22,1.05,5,450,4.8,8,23,1.3,8,508.17
SADALGA,6.9,0.26,0.6,6,422,5.6,2,19,1,8,471.36
SADALGA,6.92,0.2,0.7,4,680,4.8,8,8,1.2,6,719.82
SADALGA,6.8,0.11,0.7,6,168,5.6,11,6,0.9,9,214.11
SHIROL,7.1,0.23,0.9,18.3,582,7.2,8,28,1.2,6,658.93
SADALGA,7.02,0.18,0.5,6,280,9.6,3,8,1,7,322.3
SADALGA,6.6,0.32,0.6,7.5,179,4,2,9,0.8,7,216.82
CHAND-SHIRADWAD,7.59,0.21,0.6,2,336,10.8,11,4,1.5,8,381.7
CHAND-SHIRADWAD,7.51,0.49,0.6,11.5,370,9.8,11,1,1.8,6,419.7
CHAND-SHIRADWAD,7.24,0.21,0.5,9,422,7.6,15,9,1.8,5,477.35
CHAND-SHIRADWAD,7.24,0.21,0.5,9,422,7.6,15,9,1.8,5,477.35
CHAND-SHIRADWAD,7.2,0.22,0.6,10.4,392,7.2,15,41,1.7,7,482.32
CHAND-SHIRADWAD,7.51,0.24,0.2,2.5,358,8.4,14,25,1.4,6,423.25
CHAND-SHIRADWAD,7.49,0.16,0.3,14,422,9.6,15.7,29,1.5,8,507.75
CHAND-SHIRADWAD,6.72,0.26,0.6,18,459,4.8,27,22,2,9,549.38
CHAND-SHIRADWAD,7.37,0.42,0.2,12,280,5.6,15,22,1.4,7.4,351.39
TAKALI,7.59,0.59,0.85,7.5,258,8.4,10.2,19.6,0.92,5.06,318.71
TAKALI,7.55,0.47,0.7,7,728,8,6,28.8,0.8,7.28,794.6
TAKALI,7.42,0.49,0.7,6,694,7.4,5.92,27.4,0.76,7.38,757.47
TAKALI,7.21,0.6,0.6,6,258,4.8,7.6,30,0.72,8.3,323.83
TAKALI,7.12,0.84,0.7,5,280,2.4,6.7,30,0.7,8,341.46
TAKALI,7.14,0.63,0.9,4,224,4.8,11.2,29.8,0.82,8.22,291.51
TAKALI,7.37,0.2,0.7,10,605,7.2,17,24.4,1.08,4.76,677.71
TAKALI,7.07,0.37,0.8,12.4,806,3.2,12.8,26.8,1.78,6,877.22
TAKALI,7.32,0.52,1.05,14.1,918,3.2,14.8,33.6,12.82,5.72,1011.13
TAKALI,7.67,0.27,0.6,13.6,482,8.8,18.2,39.8,1.8,11,583.74
TAKALI,7.42,0.37,0.85,7.2,1120,7.2,12,28.2,0.92,4.82,1188.98
TAKALI,7.54,0.21,0.5,5.7,291,10.8,16.2,32.2,1.92,4.55,370.62
TAKALI,7.64,0.49,6,8.6,717,19.2,18.2,30.8,1.42,6.22,815.57
TAKALI,7.44,0.72,0.6,21.1,460,12,22.2,36.2,1.82,7.12,569.2
TAKALI,7.43,0.2,0.3,3.8,246,11.2,28.2,32.2,1.22,6.18,336.73
TAKALI,7.47,0.36,0.85,11.8,806,14.4,32.2,62.2,2.12,11.2,948.6
TAKALI,7.21,0.34,0.5,12.1,638,6,29.6,52.2,1.88,10.2,758.03
TAKALI,7.57,0.26,0.6,8.6,538,13.6,24.6,42.2,2.1,11.8,649.33
TAKALI,7.37,0.35,0.85,7.5,660,12.4,32.8,49.8,2.22,12.2,785.49
SHIRGUPPI,7.62,0.37,0.85,16.8,930,4,22.2,29.8,1.72,6.84,1020.2
SHAHAPUR,7.42,0.57,0.7,6.3,571,12,28.2,34.8,1.82,7.78,670.59
SHIRGUPPI,7.39,0.25,0.5,0.44,347,4.8,9.4,12.6,0.24,4.5,387.12
SHIRGUPPI,6.59,0.43,0.8,6.3,504,1.6,29.4,42.8,1.2,8.6,601.72
SHIRGUPPI,6.69,0.45,0.6,8.06,493,1.6,4.22,10.2,0.06,3.18,528.06
SHIRGUPPI,7.16,0.3,0.7,0.44,633,7.2,12.6,19.2,0.26,6.52,687.38
SHIRGUPPI,7.17,0.32,0.7,0.44,482,6,12.4,19.6,0.44,7.32,536.39
TAKALI,6.1,0.21,0.6,1.6,269,4.8,14.4,35,1.1,2.64,335.45
KURUNDWAD,6.92,0.59,0.8,2.15,381,4.4,11,17.4,1.74,3.7,429.7
KURUNDWAD,6.29,0.42,0.6,6.6,493,1.6,21,38,1.82,4.3,573.63
KURUNDWAD,6.12,0.54,0.9,15.6,504,4.8,41.4,72.2,3.32,9.7,658.58
KURUNDWAD,6.42,0.34,0.5,8.06,414,3.6,21,51.8,1.64,5.18,512.54
KURUNDWAD,6.84,0.22,0.4,1.07,347,5.6,6.14,19.6,1.04,1.26,389.17
KURUNDWAD,6.62,0.79,0.5,1.07,526,5.6,5.62,28.8,0.86,1.48,577.34
KURUNDWAD,6.89,0.59,0.6,5.02,666,5.6,8.9,26.2,2.2,1.7,723.7
KURUNDWAD,6.89,0.57,0.4,1.6,504,9.6,6.76,31,2.26,0.92,564
KURUNDWAD,6.76,0.49,0.4,1.6,459,1.6,10.2,25,2.08,5.68,512.81
KURUNDWAD,6.76,0.29,0.2,0.44,347,4,5.78,15.6,1.16,2.8,384.03
KURUNDWAD,6.67,0.52,0.8,4.7,700,5.6,10.2,26,1.98,4.82,761.29
KURUNDWAD,7.46,0.52,0.6,15.2,515,7.6,3.96,23,2.04,2.3,577.68
DATTANAGAR ,6.89,0.48,0.6,1.07,526,4,6.86,35.2,1.76,4.58,587.44
TAKALI,6.8,0.47,0.8,6.6,750,2.4,11.6,16,1.58,8.34,804.59
KURUNDWAD,6.69,0.35,0.7,8.6,1120,7.6,12.4,19,1.78,6.62,1183.74
TAKALI,6.67,0.27,0.7,6.6,1120,6.4,12.8,19.4,2.86,6.52,1182.22
TAKALI,6.74,0.27,0.8,3.4,1120,7.6,12,16.8,2.32,6.14,1176.07
KURUNDWAD,6.29,0.49,0.7,3.8,605,3.6,8.18,22.4,2.38,6.32,659.16
KURUNDWAD,6.37,0.32,0.9,7.5,1098,2.4,11.8,18,2.58,6.04,1153.91
CHAND-SHIRADWAD,7.01,0.34,0.5,11.5,1120,3.4,8.14,25,3.9,8.82,1188.61
JANWAD,6.37,0.39,0.7,5.7,997,6,9.2,21.26,2.66,6.34,1055.62
JANWAD,7.02,0.34,0.9,12.9,504,7.2,6.68,23.8,5.76,6.92,575.52
JANWAD,7.06,0.47,0.8,7.2,941,4.8,8.98,19.8,1.82,5.12,997.05
JANWAD,7.01,0.43,0.7,13.6,1120,8.4,9.04,18.4,1.64,4.4,1183.62
JANWAD,6.96,0.45,0.6,11.5,1030,6.4,8.18,25,2.26,8.94,1100.29
CHAND-SHIRADWAD,6.89,0.34,0.6,8.96,918,5.6,9.16,21.6,1.78,2.88,975.81
UDGAON,6.48,0.65,0.6,6.3,605,7.6,8.72,21.48,2.38,4.46,663.67
UDGAON,6.52,0.42,0.6,17.6,549,6.4,5.02,12.2,2.6,4.92,605.28
UDGAON,6.55,1.35,0.9,8.96,224,5.6,3.7,11.6,3,4.3,269.96
UDGAON,6.4,0.65,0.6,5.7,414,3.6,11,29.6,2.34,5.18,479.07
UDGAON,6.05,0.48,0.8,12.9,347,6,1.78,17.4,2.78,5.22,400.41
UDGAON,6.29,0.65,0.8,6.3,247,3.6,8.68,25,2.1,5.08,305.5
DATTANAGAR ,6.29,0.38,0.6,16.5,319,4.8,0.86,20.2,0.18,4.86,373.67
DHARANGUTTI,6.69,14.4,0.85,23.2,1120,5.6,58.4,23.8,0.86,4.08,1257.88
SHIROL,6.46,0.55,0.5,6.6,666,4,4.06,5.16,3.58,2.26,699.17
AKIWAT,7.1,0.41,0.5,7.5,582,7.2,6.08,7.5,1.06,1.5,620.85
UDGAON,6.85,0.33,0.7,18.6,577,8.4,14,30.2,8.18,11.6,675.86
TAKALI,6.5,0.28,0.5,2.5,381,4.8,11.4,29.6,1.78,9.2,447.56
TAKALI,6.42,0.16,0.5,0.44,403,3.2,12.4,32.4,1.4,8.62,468.54
TAKALI,6.3,0.17,0.4,2.5,336,8.8,12.2,30.6,1.58,8.9,407.45
TAKALI,6.22,0.16,0.5,1.07,521,4.8,23,66.8,1.04,8.74,633.33
TAKALI,6.55,0.18,0.7,6.6,1120,8.8,13.4,47.2,1.86,14.4,1219.69
TAKALI,6.25,0.19,0.6,12.9,818,5.2,16.4,47,2.44,13,921.98
TAKALI,6.23,0.12,0.6,1.6,403,4.8,4.86,23.2,1.34,8.14,453.89
TAKALI,6.52,0.15,0.5,12.1,347,4.8,7.8,23.6,2.92,16,421.39
TAKALI,6.32,0.12,0.3,4.5,302,5.6,6.18,26.2,2.14,13.6,366.96
TAKALI,6.26,0.16,0.6,7.5,493,5.2,37.4,34,1.08,17.6,602.8
KURUNDWAD,6.9,1.88,0.7,1.6,1120,4.4,11.2,23.8,1.52,4.32,1176.32
JAMBHALI,6.69,0.9,0.7,6.3,1075,2.4,5.38,20.2,1.6,3.96,1123.13
JAMBHALI,6.86,0.9,1.25,16.8,10.86,5.6,7.2,55,1.98,3.96,110.41
SHIROL,7.58,0.8,0.5,4.5,1120,12,8.56,6.42,0.06,1.9,1162.32
SHIROL,7.55,0.9,0.4,1.6,1120,10.8,2.94,3.3,0.28,1.78,1149.55
SHIROL,7.48,0.88,0.5,1.6,1120,10.4,3.32,3.1,1.16,1.58,1150.02
SHEDBAL,6.72,0.33,0.7,4.7,381,7.6,8.1,10.6,1.14,2.34,423.23
SHAHAPUR,6.74,1.22,0.6,7.5,414,16,8.16,19.2,1.56,2.04,477.02
SHAHAPUR,6.76,1.52,0.5,3.4,347,16.8,8.22,18.4,1.14,1.58,405.32
SHEDBAL,6.77,0.6,0.3,5.7,414,8.4,9.08,15.6,0.82,2.46,463.73
SHEDBAL,6.83,0.53,0.6,1.6,493,9.2,7.22,16.6,1.5,2.64,539.72
SHEDBAL,6.68,0.55,0.4,3.4,549,4,6.84,7.6,0.58,1.34,580.39
SHEDBAL,6.42,0.53,0.3,4.7,571,3.2,14,11.8,0.44,1.66,614.05
SHEDBAL,6.8,0.39,0.6,4.5,818,11.6,2.46,11.8,0.72,1.5,858.37
SHEDBAL,6.65,0.58,1.05,5.7,1120,11.6,8.9,22.6,0.66,2.1,1179.84
SHEDBAL,6.87,0.28,0.8,4.7,638,14.8,1.12,13,0.82,3.08,683.47
SHEDBAL,6.22,0.26,0.6,3.8,358,3.6,9,66.8,0.08,2.18,450.54
SHEDBAL,6.62,0.68,0.4,3.4,269,2.8,9.24,14,1.52,1.86,309.52
SHEDBAL,6.75,0.42,0.7,4.5,780,8,8.68,12.6,1.6,2.62,825.87
SHEDBAL,6.8,0.43,0.4,2.5,717,12.8,8.64,20.2,1.04,1.86,771.67
SHEDBAL,6.69,0.32,0.6,3.4,549,9.6,9.12,13.8,1.4,2.06,595.99
SHEDBAL,6.84,0.28,0.7,1.07,605,16,10.4,18,0.9,0.3,659.49
SHEDBAL,7.05,0.33,0.4,1.07,470,13.6,11.8,17.6,1.3,2.32,525.47
KURUNDWAD,4.68,0.1,0.5,12.1,493,4.4,7.76,6.42,0.46,3.82,533.24
UDGAON,7.04,0.74,1.05,18.6,1120,9.2,5,19.4,0.9,5.7,1187.63
UDGAON,6.88,0.75,1.15,18.6,1120,10.8,4.06,21.4,1.5,7.1,1192.24
MANGAVATI,6.69,0.53,0.4,23.3,549,8.8,9.22,17.4,0.26,4.96,620.56
MANGAVATI,6.73,1.1,0.4,18.6,941,12,7.76,19.2,0.16,7.84,1014.79
MANGAVATI,6.52,0.49,0.6,10.4,549,12.8,7.8,13.2,1.46,3.12,605.39
MANGAVATI,6.62,0.39,0.7,17.6,549,7.2,7.2,12.4,0.72,5.3,607.13
MANGAVATI,6.68,0.58,0.6,10.9,392,8,4.94,13.2,0.3,3.6,440.8
MANGAVATI,6.72,0.48,0.4,9.5,504,10,4.82,11,0.96,3.42,551.3
MANGAVATI,6.57,0.33,0.6,18.6,918,8.4,6.68,10.8,1.2,6.06,977.24
MANGAVATI,6.72,0.45,0.7,7.5,706,9.2,4.1,14.8,1.14,2.66,753.27
MANGAVATI,6.64,1.1,0.6,18.6,1120,6.4,6.24,10.8,0.6,2.98,1173.96
MANGAVATI,6.73,0.72,0.7,25.8,1120,9.6,5.38,18.4,2.02,4.72,1194.07
SHIROL,6.53,0.55,0.6,8.6,605,10.4,10.6,14.8,1.98,3.2,662.26
SHIROL,6.25,0.32,0.6,10.9,650,9.2,8.9,11.8,3.5,4.02,705.49
NANDANI,6.38,0.26,0.8,14.1,470,3.6,12.2,20.8,0.7,5.36,534.2
DHARANGUTTI,7.14,0.29,0.6,11.8,851,4,0.66,13.6,1.06,3.76,893.91
SHIROL,7.25,0.25,0.7,8.96,470,15.2,4.36,9.06,0.5,1.84,518.12
SHIROL,7.18,0.39,0.8,21.1,493,16.8,5.32,10.8,0.2,1.84,557.43
SHIROL,7.18,0.39,0.8,21.1,493,16.8,5.32,10.8,0.2,1.84,557.43
RAJAPUR,6.64,0.45,0.3,18.6,717,5.2,3.7,33.6,0.5,2.32,788.31
SADALGA,7.64,0.2,0.7,11.5,403,6.4,1.06,13.6,1.2,0.94,446.24
SADALGA,6.85,0.22,0.7,14.7,358,4.4,25.4,43.4,3,1.94,458.61
SADALGA,6.72,0.18,0.8,18,414,5.6,24.4,38.4,1.78,2.22,512.1
SADALGA,6.88,0.25,0.8,14.1,381,4.8,30.2,34.2,1.68,1.5,475.41
SADALGA,7.18,0.55,0.6,23.3,437,5.2,17,23.8,1.86,2.32,518.81
SADALGA,6.5,0.18,0.4,5.7,302,3.2,31.6,47.6,2.66,2.12,401.96
SADALGA,6.7,0.25,0.6,8.6,381,2.8,26.8,39.6,2.4,2.56,471.31
SHIROL,7.14,0.52,0.5,10.4,459,4.8,10.4,26,5.58,5.86,530.2
SHIROL,7.05,0.55,0.6,10.4,482,5.6,8.14,26.2,5.82,5.32,551.68
SHIROL,7.12,0.5,0.4,10.9,459,4.8,9.16,26.4,6.3,6,530.58
SHIROL,7.18,0.54,0.4,13.3,470,4.8,10.6,27,5.9,5.68,545.4
SADALGA,7.65,0.35,0.7,14.1,437,13.6,5.02,14.6,0.26,2.56,495.84
SADALGA,7.57,0.36,0.6,11.8,258,10,4.98,11.6,0.68,1.58,307.17
NANDANI,7.62,0.85,0.7,10.9,437,10,3.16,11.2,1.12,3.96,486.51
SADALGA,7.44,0.39,0.9,15.2,336,12,2.54,17.4,0.16,3.66,395.69
SADALGA,7.44,0.39,0.9,15.2,336,12,2.54,17.46,0.16,3.66,395.75
SADALGA,7.68,0.49,0.7,12.9,302,10,3.9,8.18,1.42,2.6,349.87
SADALGA,7.59,0.39,0.7,14.7,470,12,4.68,16.2,0.24,3.02,529.52
SADALGA,7.65,0.32,0.6,9.5,392,15.6,5.44,12.6,0.12,0.88,444.71
SADALGA,7.55,0.38,0.8,11.5,526,12,5.2,24.8,0.14,2.56,590.93
SADALGA,7.8,0.39,0.6,13.3,515,14,1.8,3.3,1.14,2.7,560.03
SADALGA,7.56,0.37,0.7,11.5,918,14.4,2.42,15.2,0.46,2.74,973.35
SADALGA,6.73,0.33,0.4,25.8,347,6.4,17.4,14,0.74,4.3,423.1
SADALGA,6.85,0.28,0.5,16.8,459,6.4,20,28.8,1.38,5.06,545.07
SADALGA,6.96,0.34,0.7,9,302,9.6,13.6,19.2,1.34,2.24,364.98
SADALGA,7.36,0.43,0.6,10,359,12,12.2,12.4,1.18,2.38,417.55
SADALGA,6.52,0.22,0.3,21.1,246,6.8,26.8,53.8,2.42,4.18,368.14
SADALGA,7.72,0.59,0.6,16.5,638,12,11.4,15.2,1.02,2.08,705.11
SADALGA,7.07,0.96,0.6,17.6,414,7.2,17.6,32.2,0.84,3.58,501.65
SADALGA,7.59,0.62,0.6,11.5,168,10,12.6,13.4,1.58,3.8,229.69
SADALGA,6.92,0.34,0.2,13.6,224,6.8,14.6,11.2,2.44,1.14,281.24
SADALGA,7.29,0.36,0.5,15.6,224,6.8,14.2,9.2,1.94,1.22,281.11
SADALGA,7.5,0.34,0.6,12.9,582,12,7.6,15.4,1.84,3.28,643.46
SADALGA,7.98,0.65,0.6,18.6,750,13.6,4.5,16,0.36,2.36,814.65
SADALGA,7.05,0.35,0.5,18.3,381,7.2,18.2,34,2.12,2.3,471.02
SADALGA,7.39,0.86,0.6,16.8,706,13.6,17,27.4,0.26,2.52,792.43
ARJUNWAD,7.69,0.55,0.7,7.5,666,10.8,13,38,1.26,4.28,749.78
SHIRDHON,7.98,0.48,0.6,8.96,712,12,8.34,16.2,2.08,2.48,771.12
NANDANI,7.98,0.42,0.5,15.2,319,8.4,7.2,16.2,0.28,1.34,376.52
NANDANI,7.85,0.45,0.7,12.9,941,10.4,7.76,13.4,1.08,0.74,996.28
NANDANI,7.96,0.88,0.7,7.2,493,14.8,6.78,17,1.8,1.62,551.74
NANDANI,7.25,4.46,0.7,15.2,549,7.6,7.7,22.7,0.94,1.42,616.97
NANDANI,7.69,0.75,0.6,7.2,437,10,7.18,22.2,0.74,0.98,494.34
NANDANI,7.85,0.55,0.8,8.06,269,9.6,15.4,38,1.24,1.22,351.72
NANDANI,7.77,1.25,0.7,8.06,795,9.6,6.34,21.6,1.68,1.4,853.4
NANDANI,7.49,0.34,0.4,11.5,302,9.6,5.66,18.8,1.62,0.58,357.99
