VILLAGE_NAME_ENGLISH,PH,EC,Organinc Carbon,PHOSPHOROUS,POTASH,CALCIUM_CARBONATE,FERROUS,MANAGESE,ZINK,COPPER,Total Rating Value
BORGAON,7.72,0.51,0.4,14.1,179,7.2,3.6,10.6,2,3.8,228.93
BORGAON,7.14,0.39,0.4,11.8,67,3.2,4,8.4,1.6,3.6,107.53
BORGAON,7.04,0.62,0.4,18,224,4.8,6,9,2,3,274.86
BORGAON,7.09,0.31,0.4,2.9,67,3.2,6,10.6,0.8,4,102.3
SHIROL,7.69,0.4,0.4,8.1,246,10.4,6,10.4,0.8,3,293.19
DHARANGUTTI,7.39,0.37,0.7,2.9,269,7.2,7.4,10.8,5.4,8.8,319.96
DHARANGUTTI,7.42,0.45,0.7,3.8,392,8.4,6.3,26.8,3,7.6,456.47
DHARANGUTTI,7.29,0.54,0.7,5.7,280,1.2,6.2,11,2.4,7.8,322.83
DHARANGUTTI,7.39,1.47,0.5,5.7,650,12.4,4.4,16.7,5,8.8,712.36
DHARANGUTTI,7.64,0.31,0.7,4.7,235,6.8,6.6,9.6,5,8.8,285.15
DHARANGUTTI,7.59,0.48,0.5,11.8,538,8.8,7.4,10.6,3,8.8,596.97
DHARANGUTTI,7.66,0.27,0.6,2.9,291,2,2.6,8,0.9,7,322.93
DHARANGUTTI,7.49,0.2,0.4,10.9,112,4.8,7.3,12,4.2,8.2,167.49
SHIROL,7.49,0.34,0.85,6.3,336,2,5.2,11.4,1.2,7.4,378.18
CHINCHWAD,7.49,0.46,0.7,10,392,6.4,4.4,2.6,4,8,436.05
SHIROL,7.51,0.71,0.7,4.7,414,4.8,2.3,20.4,0.7,7.8,463.62
SHIROL,7.49,1.17,0.6,5.7,6.5,8.8,6.8,24,4,7.6,72.66
CHINCHWAD,7.64,0.59,0.7,12.1,862,4.8,2,10.9,4,6.4,911.13
SHIROL,7.49,0.46,0.6,5,112,3.2,1.8,9,2.3,6.6,148.45
SHIROL,7.44,0.49,0.7,5.7,190,5.6,4,24,3.4,7.4,248.73
SHIROL,7.39,0.89,0.4,2.3,168,4.8,1,13.6,3,6,207.38
SHIROL,7.1,1.78,0.7,15.2,515,8,8,42.4,3,3,604.18
SHIROL,7.42,0.3,0.7,9.5,425,19.2,6,23,0.8,10,501.92
SHIROL,7.17,0.64,1.15,23.3,1008,6.8,7.8,12.6,0.2,9,1076.66
SADALGA,7.07,0.8,0.85,15.6,381,8.8,8.6,50.5,0.2,12,485.42
SHIROL,7.64,0.71,0.6,10.4,322,5.8,8.4,30,0.2,6,391.75
UDGAON,7.64,0.99,0.85,20.1,425,5.8,4.2,27.5,0.06,7,499.14
UDGAON,7.96,0.94,0.6,5.02,246,8.8,4.2,15,3,9.5,301.02
SHIRDHON,7.82,0.44,0.3,8.06,370,8,4.6,17.4,4,12,432.62
NANDANI,7.87,0.29,0.4,2.3,56,7.8,3.8,12,0.2,15.2,105.86
SHEDBAL,7.74,0.32,0.3,1.1,34,8.8,2.6,12,0.7,2,69.56
SHEDBAL,7.79,0.42,0.4,2.9,403,13.2,3.2,9,2,2.3,444.21
SHEDBAL,7.69,0.41,0.4,6.5,381,12.4,3.5,7,2.4,2,423.3
SHIROL,7.32,0.51,0.4,7.5,288,6,7,8.2,0.8,2.4,328.13
SHIROL,7.62,0.36,0.3,6.6,163,10.2,6.4,7.4,0.8,2.2,204.88
SHIROL,7.61,0.51,0.3,10.4,498,10,6.6,7.6,1,2.6,544.62
SHIROL,7.02,0.52,0.7,16.9,235,4.4,14,15.2,0.6,7,301.34
SHIRATI,7.39,1.29,0.2,16.5,1120,4,3,9,2.2,7,1170.58
SHIROL,7.64,1.06,0.3,4.7,459,8.8,5,11,1.2,5.6,504.3
SHIROL,7.89,0.97,0.3,0.4,549,9.6,4,7,1,6,586.16
SHIROL,7.99,0.51,0.3,1.1,549,11.2,4,5,0.8,6,585.9
SHIROL,7.89,0.69,0.6,0.4,526,10,2.8,10,1.2,5,564.58
SHIROL,8.04,0.24,0.7,7.2,1109,11.2,3,9.6,2.8,4,1155.78
SHIROL,7.89,0.34,0.4,6.3,1109,5.2,8,9,1.3,5.4,1152.83
SHIROL,7.79,0.39,0.3,3.4,851,2.8,6.4,5,1.4,5.2,883.68
SHIROL,7.99,0.37,0.5,3.4,336,6.8,6.6,8,1.4,8.8,379.86
SHIROL,7.93,0.36,0.2,0.4,526,4.8,3,6.5,1,5,555.19
TAKALI,7.37,0.15,0.5,30.1,157,5.2,10.6,8,0.6,2.6,222.12
SHIROL,7.29,0.13,0.5,10.9,190,4.4,32.6,21.4,0.6,2,269.82
UDGAON,7.59,0.14,0.4,13.3,123,5.2,8,13.4,0.8,3,174.83
CHINCHWAD,7.64,0.33,0.6,11.8,291,6,0.8,16,0.8,2.8,337.77
SHIROL,7.69,0.74,0.6,8.6,997,6.8,5.6,9,1.7,5,1042.73
RAJAPUR,7.54,0.43,0.7,14.1,717,11.2,11,8.5,3,5.5,778.97
RAJAPUR,7.62,0.64,0.8,23.3,1098,9.6,10,8.4,3.6,5.2,1167.16
AKIWAT,7.19,0.27,0.7,13.3,258,6.4,7,24.6,5,12,334.46
AKIWAT,7.12,0.31,1.05,14.1,200,6,7.2,26.3,5.2,11.2,278.48
AKIWAT,7.56,0.18,0.6,5.7,179,8,5.4,20,3.7,10.2,240.34
AKIWAT,7.39,0.29,0.5,8.6,320,7.2,6,20.6,5.4,10.4,386.38
AKIWAT,7.24,0.31,0.6,21.6,549,6.4,6.2,29.4,9,15.2,644.95
AKIWAT,7.79,0.57,0.8,9,200,17.2,3.6,18,3.4,8.8,269.16
AKIWAT,7.96,0.39,0.7,4.5,347,19.6,7.6,14,1.4,6.8,409.95
AKIWAT,7.89,0.28,0.5,6.3,862,6,0.5,14.6,6,10.2,914.27
CHINCHWAD,7.94,1.02,0.7,11.5,470,17.2,6,22,0.4,6,542.76
SHIROL,7.69,0.38,0.5,10.9,168,6.4,6.4,12,3.8,5.2,221.27
KURUNDWAD,7.51,0.49,0.5,9,134,8.8,12,25,4,9,210.3
KURUNDWAD,7.64,0.42,0.4,6.6,78,12,8,15.4,2.5,6,136.96
KURUNDWAD,7.69,0.67,0.6,16.5,235,9.2,13,15,6,8,311.66
KURUNDWAD,7.82,0.41,0.5,7.2,78,12.8,8,17,2.4,5,139.13
KURUNDWAD,7.37,0.36,0.5,9.5,302,12,9,27.6,2,5.4,375.73
TAKALI,7.78,0.36,0.5,9,200,12,6,4.6,2.3,4.7,247.24
DATTANAGAR ,7.26,0.54,0.3,7.5,370,5.6,6.6,17.5,1,3,419.3
SHIROL,7.54,0.52,0.6,4.7,493,10.8,6,6,2.3,4.4,535.86
SHIROL,7.59,0.49,0.5,11.5,693,9.6,6,16,2.5,3.6,750.78
SHIROL,7.64,0.57,0.7,10.9,772,11.2,3.6,9,2.5,3.4,821.51
TAKALI,7.37,0.15,0.5,30.1,157,5.2,10.6,8,0.6,2.6,222.12
BORGAON,7.46,0.37,0.7,13.3,146,7.6,6,6.6,2.5,3.4,193.93
BORGAON,7.42,0.17,0.5,11.8,269,6.8,6,6.8,1.5,2.8,312.79
BORGAON,7.39,0.17,0.4,8.6,179,7.2,7,10,2.5,2,224.26
BORGAON,7.52,0.16,0.7,10.9,112,7.6,6.8,5.4,1.6,2.5,155.18
BORGAON,7.54,0.29,0.4,9.5,56,7.2,8,8,2,3.9,102.83
BORGAON,7.77,0.14,0.3,8.6,101,13.6,5.2,6.6,0.8,0.8,144.81
BORGAON,7.92,0.15,0.5,8.06,135,19.2,6.8,10,0.8,1.6,190.03
BORGAON,6.46,0.13,0.2,8.6,336,2.4,12,18.4,1.2,1,386.39
SHIRDHON,7.67,0.17,0.6,10.4,680,8.4,7.6,8.8,1.2,2,726.84
BORGAON,7.82,0.13,0.6,10,280,7.6,5,11.6,1.6,2,326.35
BORGAON,7.69,0.15,0.5,8.6,168,10,9.2,18,1.2,2.3,225.64
BORGAON,7.32,0.13,0.4,10,336,3.2,7,9.6,3.6,2.9,380.15
BORGAON,7.79,0.21,0.6,6.6,90,7.2,6.8,10.8,2.6,3.4,136
SHIROL,7.63,0.67,0.6,11.5,200,11.2,9,22,2.1,2.5,267.2
SHIROL,7.24,1.26,0.85,18.6,220,4,12.4,19,9.6,5,297.95
SHIROL,7.79,0.67,0.85,8.6,112,13.2,22.2,23.2,1.2,4,193.71
BORGAON,6.89,0.26,0.6,10.4,56,5.6,26,0.8,21.8,4,132.35
BORGAON,6.84,0.21,0.6,16.5,179,3.6,25.6,20,0.8,4,257.15
BORGAON,6.74,0.67,0.4,21.1,1960,4.4,22,23,2.8,5.2,2046.31
SHAHAPUR,7.4,0.34,0.5,11.8,360,6.4,4.6,9.6,2.4,4.2,407.24
SHAHAPUR,7.59,0.24,0.85,5.7,224,7.2,2.8,10,2.3,2.7,263.38
SHAHAPUR,7.59,0.44,0.85,8.1,308,8,7,7,2.2,4,353.18
SHAHAPUR,7.64,0.3,0.3,3.8,56,9.2,1.2,3.4,0.2,1.2,83.24
SHAHAPUR,7.39,0.28,0.5,5.7,168,5.2,5.2,16.2,0.3,2.5,211.27
SHIRGUPPI,7.99,0.29,0.4,4.7,246,16.8,5.6,10.6,0.3,2,294.68
SHIRGUPPI,7.46,0.81,0.6,4.6,392,4,6,23,0.5,4,442.97
SHIRGUPPI,7.59,0.54,0.5,6.6,370,5.6,3.7,8,0.4,1.8,404.73
SHAHAPUR,7.54,0.61,0.4,7,134,6.8,5.8,8.5,0.3,2.3,173.25
SHAHAPUR,7.64,0.49,0.4,6.3,90,8.8,6,6.6,0.4,2,128.63
MANGAVATI,7.54,0.42,0.3,7,215,8.4,5.4,10.5,0.4,2,256.96
MANGAVATI,7.49,0.37,0.4,6.3,370,6.8,5.2,16,0.4,3,415.96
MANGAVATI,7.79,0.27,0.5,6.3,246,9.6,3,8,0.5,3,284.96
MANGAVATI,7.72,0.31,0.5,6.3,440,8.8,3.6,8,0.5,2,477.73
MANGAVATI,7.59,0.87,0.6,7,270,8,4,8,4,3.4,313.46
MANGAVATI,7.39,0.25,0.4,10.4,358,3.2,7.4,8,2.5,6,403.54
TAKALI,7.84,0.37,0.6,3.4,235,7.6,4.5,8,1.4,7.4,276.11
TAKALI,7.9,0.2,0.7,1.1,437,10.4,3.6,11,0.4,6.3,478.6
SHIRDHON,7.79,0.21,0.4,3.8,56,3.6,6.5,13,0.3,3.8,95.4
SHIRDHON,7.59,0.24,0.4,4.5,56,2.6,7.6,16,0.5,4.4,99.83
SHIRDHON,7.2,0.89,0.6,3.8,190,3.6,9.3,25,1.5,7,248.89
SHIRDHON,7.12,0.37,0.4,0.4,56,3.6,12,47,1.5,8,136.39
SHIRDHON,7.29,0.36,0.4,2.1,56,4.8,10.4,16.8,1.2,4,103.35
SHIRDHON,7.34,0.37,0.5,4.7,56,5.7,7.5,20.6,1.5,7,111.21
SHIRDHON,7.42,0.32,0.3,2.1,56,6,6.9,16.4,1.3,6.5,103.24
SHIRDHON,7.24,0.66,0.5,2.1,90,4.4,8,15.6,1,6.4,135.9
SHIRDHON,7.09,8.54,0.7,2.1,56,2.8,5,11.2,0.9,7,101.33
SHIRDHON,7.96,0.96,0.3,2.5,56,15.2,10,15,1.2,7.3,116.42
SHIROL,7.39,0.84,0.5,1.6,123,6,2,9.4,1,5.5,157.23
SHIROL,7.39,14.44,0.7,3.4,392,5.6,2,31.4,1.4,5.6,463.93
